sqrt(2) = [ 1; (2) ]
sqrt(1648) = [ 40; (1, 1, 2, 8, 1, 1, 1, 1, 1, 4, 6, 1, 1, 4, 1, 1, 6, 4, 1, 1, 1, 1, 1, 8, 2, 1, 1, 80) ]
sqrt(1649) = [ 40; (1, 1, 1, 1, 4, 2, 9, 1, 2, 2, 1, 9, 2, 4, 1, 1, 1, 1, 80) ]
sqrt(1650) = [ 40; (1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 80) ]
sqrt(1651) = [ 40; (1, 1, 1, 2, 1, 1, 2, 2, 3, 8, 1, 2, 1, 4, 26, 1, 7, 6, 7, 1, 26, 4, 1, 2, 1, 8, 3, 2, 2, 1, 1, 2, 1, 1, 1, 80) ]
sqrt(1652) = [ 40; (1, 1, 1, 4, 2, 2, 2, 4, 1, 1, 1, 80) ]
sqrt(1653) = [ 40; (1, 1, 1, 10, 1, 19, 2, 2, 2, 2, 2, 19, 1, 10, 1, 1, 1, 80) ]
sqrt(1654) = [ 40; (1, 2, 40, 2, 1, 80) ]
sqrt(1655) = [ 40; (1, 2, 7, 16, 7, 2, 1, 80) ]
sqrt(1656) = [ 40; (1, 2, 3, 1, 2, 1, 3, 2, 1, 80) ]
sqrt(1657) = [ 40; (1, 2, 2, 2, 8, 1, 1, 1, 2, 1, 2, 1, 4, 2, 1, 4, 9, 1, 26, 4, 4, 26, 1, 9, 4, 1, 2, 4, 1, 2, 1, 2, 1, 1, 1, 8, 2, 2, 2, 1, 80) ]
sqrt(1658) = [ 40; (1, 2, 1, 1, 4, 4, 1, 1, 2, 1, 80) ]
sqrt(1659) = [ 40; (1, 2, 1, 2, 1, 1, 26, 1, 1, 2, 1, 2, 1, 80) ]
sqrt(1660) = [ 40; (1, 2, 1, 8, 3, 3, 1, 1, 3, 1, 2, 1, 1, 1, 1, 2, 5, 20, 5, 2, 1, 1, 1, 1, 2, 1, 3, 1, 1, 3, 3, 8, 1, 2, 1, 80) ]
sqrt(1661) = [ 40; (1, 3, 11, 2, 1, 1, 5, 1, 2, 15, 1, 19, 2, 3, 1, 1, 2, 2, 1, 6, 1, 2, 2, 1, 1, 3, 2, 19, 1, 15, 2, 1, 5, 1, 1, 2, 11, 3, 1, 80) ]
sqrt(1662) = [ 40; (1, 3, 3, 3, 2, 1, 1, 26, 1, 1, 2, 3, 3, 3, 1, 80) ]
sqrt(1663) = [ 40; (1, 3, 1, 1, 5, 3, 1, 2, 2, 1, 1, 1, 12, 1, 26, 3, 1, 5, 1, 1, 11, 8, 1, 39, 1, 8, 11, 1, 1, 5, 1, 3, 26, 1, 12, 1, 1, 1, 2, 2, 1, 3, 5, 1, 1, 3, 1, 80) ]
sqrt(1664) = [ 40; (1, 3, 1, 4, 3, 2, 1, 19, 1, 2, 3, 4, 1, 3, 1, 80) ]
sqrt(1665) = [ 40; (1, 4, 8, 1, 6, 1, 1, 8, 1, 1, 6, 1, 8, 4, 1, 80) ]
sqrt(1666) = [ 40; (1, 4, 2, 4, 1, 80) ]
sqrt(1667) = [ 40; (1, 4, 1, 5, 2, 4, 2, 1, 10, 1, 39, 1, 10, 1, 2, 4, 2, 5, 1, 4, 1, 80) ]
sqrt(1668) = [ 40; (1, 5, 3, 2, 1, 1, 1, 1, 26, 1, 1, 1, 1, 2, 3, 5, 1, 80) ]
sqrt(1669) = [ 40; (1, 5, 1, 4, 1, 1, 2, 3, 1, 2, 3, 1, 15, 1, 1, 3, 26, 1, 19, 2, 6, 3, 8, 1, 3, 5, 5, 3, 1, 8, 3, 6, 2, 19, 1, 26, 3, 1, 1, 15, 1, 3, 2, 1, 3, 2, 1, 1, 4, 1, 5, 1, 80) ]
sqrt(1670) = [ 40; (1, 6, 2, 3, 1, 5, 16, 5, 1, 3, 2, 6, 1, 80) ]
sqrt(1671) = [ 40; (1, 7, 5, 3, 13, 3, 5, 7, 1, 80) ]
sqrt(1672) = [ 40; (1, 8, 10, 8, 1, 80) ]
sqrt(1673) = [ 40; (1, 9, 4, 4, 1, 6, 1, 1, 1, 2, 5, 1, 10, 1, 5, 2, 1, 1, 1, 6, 1, 4, 4, 9, 1, 80) ]
sqrt(1674) = [ 40; (1, 10, 1, 2, 2, 1, 4, 8, 1, 7, 3, 2, 3, 7, 1, 8, 4, 1, 2, 2, 1, 10, 1, 80) ]
sqrt(1675) = [ 40; (1, 12, 1, 1, 1, 8, 2, 3, 2, 2, 1, 5, 7, 3, 1, 3, 7, 5, 1, 2, 2, 3, 2, 8, 1, 1, 1, 12, 1, 80) ]
sqrt(1676) = [ 40; (1, 15, 2, 1, 1, 2, 1, 2, 9, 1, 6, 1, 1, 5, 1, 3, 4, 20, 4, 3, 1, 5, 1, 1, 6, 1, 9, 2, 1, 2, 1, 1, 2, 15, 1, 80) ]
sqrt(1677) = [ 40; (1, 19, 2, 19, 1, 80) ]
sqrt(1678) = [ 40; (1, 26, 3, 8, 1, 3, 2, 2, 1, 1, 2, 4, 6, 13, 2, 40, 2, 13, 6, 4, 2, 1, 1, 2, 2, 3, 1, 8, 3, 26, 1, 80) ]
sqrt(1679) = [ 40; (1, 39, 1, 80) ]
sqrt(1680) = [ 40; (1, 80) ]
sqrt(1682) = [ 41; (82) ]
sqrt(1683) = [ 41; (41, 82) ]
sqrt(1684) = [ 41; (27, 2, 1, 8, 2, 4, 2, 1, 4, 2, 3, 1, 1, 1, 6, 1, 4, 1, 1, 1, 1, 15, 1, 4, 5, 3, 1, 2, 1, 1, 11, 6, 1, 3, 20, 3, 1, 6, 11, 1, 1, 2, 1, 3, 5, 4, 1, 15, 1, 1, 1, 1, 4, 1, 6, 1, 1, 1, 3, 2, 4, 1, 2, 4, 2, 8, 1, 2, 27, 82) ]
sqrt(1685) = [ 41; (20, 1, 1, 20, 82) ]
sqrt(1686) = [ 41; (16, 2, 2, 2, 1, 7, 1, 1, 40, 1, 1, 7, 1, 2, 2, 2, 16, 82) ]
sqrt(1687) = [ 41; (13, 1, 2, 8, 1, 3, 1, 2, 27, 41, 27, 2, 1, 3, 1, 8, 2, 1, 13, 82) ]
sqrt(1688) = [ 41; (11, 1, 2, 1, 1, 1, 9, 1, 1, 1, 2, 1, 11, 82) ]
sqrt(1689) = [ 41; (10, 3, 1, 4, 2, 1, 1, 1, 1, 1, 15, 1, 4, 1, 1, 5, 1, 3, 2, 11, 3, 2, 1, 26, 1, 2, 3, 11, 2, 3, 1, 5, 1, 1, 4, 1, 15, 1, 1, 1, 1, 1, 2, 4, 1, 3, 10, 82) ]
sqrt(1690) = [ 41; (9, 8, 9, 82) ]
sqrt(1691) = [ 41; (8, 4, 1, 2, 2, 16, 41, 16, 2, 2, 1, 4, 8, 82) ]
sqrt(1692) = [ 41; (7, 2, 7, 82) ]
sqrt(1693) = [ 41; (6, 1, 5, 2, 8, 1, 2, 6, 1, 1, 20, 27, 2, 1, 1, 1, 1, 1, 1, 2, 27, 20, 1, 1, 6, 2, 1, 8, 2, 5, 1, 6, 82) ]
sqrt(1694) = [ 41; (6, 3, 7, 1, 10, 1, 7, 3, 6, 82) ]
sqrt(1695) = [ 41; (5, 1, 6, 1, 1, 1, 6, 1, 5, 82) ]
sqrt(1696) = [ 41; (5, 2, 11, 3, 4, 1, 4, 1, 2, 8, 1, 3, 1, 19, 1, 3, 1, 8, 2, 1, 4, 1, 4, 3, 11, 2, 5, 82) ]
sqrt(1697) = [ 41; (5, 7, 3, 2, 3, 1, 9, 1, 1, 9, 1, 3, 2, 3, 7, 5, 82) ]
sqrt(1698) = [ 41; (4, 1, 5, 11, 1, 1, 1, 1, 40, 1, 1, 1, 1, 11, 5, 1, 4, 82) ]
sqrt(1699) = [ 41; (4, 1, 1, 3, 5, 4, 1, 1, 1, 15, 1, 5, 2, 2, 27, 13, 1, 2, 2, 1, 2, 2, 7, 1, 4, 1, 1, 1, 1, 2, 7, 9, 41, 9, 7, 2, 1, 1, 1, 1, 4, 1, 7, 2, 2, 1, 2, 2, 1, 13, 27, 2, 2, 5, 1, 15, 1, 1, 1, 4, 5, 3, 1, 1, 4, 82) ]
sqrt(1700) = [ 41; (4, 3, 20, 3, 4, 82) ]
sqrt(1701) = [ 41; (4, 8, 1, 10, 1, 8, 4, 82) ]
sqrt(1702) = [ 41; (3, 1, 11, 27, 2, 2, 1, 1, 3, 2, 1, 8, 2, 8, 1, 2, 3, 1, 1, 2, 2, 27, 11, 1, 3, 82) ]
sqrt(1703) = [ 41; (3, 1, 2, 1, 5, 6, 5, 1, 2, 1, 3, 82) ]
sqrt(1704) = [ 41; (3, 1, 1, 2, 1, 2, 1, 2, 1, 1, 3, 82) ]
sqrt(1705) = [ 41; (3, 2, 3, 82) ]
sqrt(1706) = [ 41; (3, 3, 2, 2, 1, 2, 1, 7, 1, 1, 7, 1, 2, 1, 2, 2, 3, 3, 82) ]
sqrt(1707) = [ 41; (3, 6, 41, 6, 3, 82) ]
sqrt(1708) = [ 41; (3, 20, 3, 82) ]
sqrt(1709) = [ 41; (2, 1, 15, 1, 6, 1, 1, 2, 1, 3, 2, 2, 1, 1, 20, 11, 1, 3, 4, 1, 1, 1, 1, 4, 3, 1, 11, 20, 1, 1, 2, 2, 3, 1, 2, 1, 1, 6, 1, 15, 1, 2, 82) ]
sqrt(1710) = [ 41; (2, 1, 5, 4, 5, 1, 2, 82) ]
sqrt(1711) = [ 41; (2, 1, 2, 1, 13, 16, 2, 8, 1, 2, 2, 2, 2, 2, 1, 8, 2, 16, 13, 1, 2, 1, 2, 82) ]
sqrt(1712) = [ 41; (2, 1, 1, 1, 11, 5, 11, 1, 1, 1, 2, 82) ]
sqrt(1713) = [ 41; (2, 1, 1, 2, 1, 5, 1, 1, 1, 4, 1, 1, 9, 1, 3, 1, 26, 1, 3, 1, 9, 1, 1, 4, 1, 1, 1, 5, 1, 2, 1, 1, 2, 82) ]
sqrt(1714) = [ 41; (2, 2, 82) ]
sqrt(1715) = [ 41; (2, 2, 2, 1, 3, 1, 1, 1, 7, 1, 1, 1, 3, 1, 2, 2, 2, 82) ]
sqrt(1716) = [ 41; (2, 2, 1, 4, 2, 6, 2, 4, 1, 2, 2, 82) ]
sqrt(1717) = [ 41; (2, 3, 2, 4, 2, 3, 2, 82) ]
sqrt(1718) = [ 41; (2, 4, 2, 1, 1, 1, 2, 1, 40, 1, 2, 1, 1, 1, 2, 4, 2, 82) ]
sqrt(1719) = [ 41; (2, 5, 1, 7, 2, 4, 7, 3, 5, 1, 1, 1, 1, 8, 1, 1, 1, 1, 5, 3, 7, 4, 2, 7, 1, 5, 2, 82) ]
sqrt(1720) = [ 41; (2, 8, 1, 2, 1, 1, 3, 1, 1, 2, 1, 8, 2, 82) ]
sqrt(1721) = [ 41; (2, 16, 10, 3, 4, 1, 1, 3, 1, 4, 2, 2, 7, 7, 2, 2, 4, 1, 3, 1, 1, 4, 3, 10, 16, 2, 82) ]
sqrt(1722) = [ 41; (2, 82) ]
sqrt(1723) = [ 41; (1, 1, 27, 5, 1, 8, 2, 1, 1, 3, 2, 1, 3, 1, 11, 13, 1, 3, 41, 3, 1, 13, 11, 1, 3, 1, 2, 3, 1, 1, 2, 8, 1, 5, 27, 1, 1, 82) ]
sqrt(1724) = [ 41; (1, 1, 11, 2, 1, 3, 2, 9, 1, 15, 1, 2, 2, 1, 1, 1, 2, 20, 2, 1, 1, 1, 2, 2, 1, 15, 1, 9, 2, 3, 1, 2, 11, 1, 1, 82) ]
sqrt(1725) = [ 41; (1, 1, 7, 20, 1, 1, 1, 2, 1, 1, 1, 20, 7, 1, 1, 82) ]
sqrt(1726) = [ 41; (1, 1, 5, 27, 1, 1, 16, 9, 5, 1, 4, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 4, 3, 1, 2, 1, 5, 1, 1, 1, 11, 4, 1, 1, 7, 1, 3, 13, 1, 1, 2, 3, 1, 40, 1, 3, 2, 1, 1, 13, 3, 1, 7, 1, 1, 4, 11, 1, 1, 1, 5, 1, 2, 1, 3, 4, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 4, 1, 5, 9, 16, 1, 1, 27, 5, 1, 1, 82) ]
sqrt(1727) = [ 41; (1, 1, 3, 1, 6, 1, 3, 1, 1, 82) ]
sqrt(1728) = [ 41; (1, 1, 3, 8, 1, 19, 1, 8, 3, 1, 1, 82) ]
sqrt(1729) = [ 41; (1, 1, 2, 1, 1, 2, 1, 2, 1, 8, 1, 1, 27, 5, 6, 5, 27, 1, 1, 8, 1, 2, 1, 2, 1, 1, 2, 1, 1, 82) ]
sqrt(1730) = [ 41; (1, 1, 2, 5, 1, 1, 5, 2, 1, 1, 82) ]
sqrt(1731) = [ 41; (1, 1, 1, 1, 6, 1, 26, 1, 6, 1, 1, 1, 1, 82) ]
sqrt(1732) = [ 41; (1, 1, 1, 1, 1, 1, 2, 2, 7, 6, 1, 4, 27, 1, 1, 5, 1, 8, 2, 2, 20, 2, 2, 8, 1, 5, 1, 1, 27, 4, 1, 6, 7, 2, 2, 1, 1, 1, 1, 1, 1, 82) ]
sqrt(1733) = [ 41; (1, 1, 1, 2, 3, 4, 11, 1, 1, 1, 20, 6, 2, 1, 4, 4, 1, 2, 6, 20, 1, 1, 1, 11, 4, 3, 2, 1, 1, 1, 82) ]
sqrt(1734) = [ 41; (1, 1, 1, 3, 1, 2, 1, 1, 4, 1, 40, 1, 4, 1, 1, 2, 1, 3, 1, 1, 1, 82) ]
sqrt(1735) = [ 41; (1, 1, 1, 7, 1, 1, 1, 82) ]
sqrt(1736) = [ 41; (1, 1, 1, 82) ]
sqrt(1737) = [ 41; (1, 2, 10, 11, 1, 4, 3, 2, 2, 1, 1, 1, 8, 1, 1, 1, 2, 2, 3, 4, 1, 11, 10, 2, 1, 82) ]
sqrt(1738) = [ 41; (1, 2, 4, 1, 1, 3, 13, 1, 1, 1, 1, 2, 11, 1, 1, 8, 1, 2, 1, 8, 1, 1, 11, 2, 1, 1, 1, 1, 13, 3, 1, 1, 4, 2, 1, 82) ]
sqrt(1739) = [ 41; (1, 2, 2, 1, 6, 1, 7, 2, 7, 1, 6, 1, 2, 2, 1, 82) ]
sqrt(1740) = [ 41; (1, 2, 2, 20, 2, 2, 1, 82) ]
sqrt(1741) = [ 41; (1, 2, 1, 1, 1, 3, 1, 1, 6, 2, 1, 1, 5, 1, 4, 1, 2, 1, 1, 27, 4, 7, 2, 1, 20, 5, 1, 1, 16, 6, 1, 8, 2, 2, 2, 2, 8, 1, 6, 16, 1, 1, 5, 20, 1, 2, 7, 4, 27, 1, 1, 2, 1, 4, 1, 5, 1, 1, 2, 6, 1, 1, 3, 1, 1, 1, 2, 1, 82) ]
sqrt(1742) = [ 41; (1, 2, 1, 4, 6, 4, 1, 2, 1, 82) ]
sqrt(1743) = [ 41; (1, 2, 1, 82) ]
sqrt(1744) = [ 41; (1, 3, 5, 3, 6, 1, 1, 1, 4, 1, 11, 9, 5, 9, 11, 1, 4, 1, 1, 1, 6, 3, 5, 3, 1, 82) ]
sqrt(1745) = [ 41; (1, 3, 2, 2, 3, 1, 82) ]
sqrt(1746) = [ 41; (1, 3, 1, 1, 1, 8, 1, 1, 1, 3, 1, 82) ]
sqrt(1747) = [ 41; (1, 3, 1, 13, 7, 1, 1, 8, 1, 3, 11, 1, 2, 5, 1, 1, 1, 2, 4, 3, 1, 3, 27, 1, 1, 2, 41, 2, 1, 1, 27, 3, 1, 3, 4, 2, 1, 1, 1, 5, 2, 1, 11, 3, 1, 8, 1, 1, 7, 13, 1, 3, 1, 82) ]
sqrt(1748) = [ 41; (1, 4, 4, 4, 1, 82) ]
sqrt(1749) = [ 41; (1, 4, 1, 1, 2, 2, 1, 20, 4, 1, 6, 1, 4, 20, 1, 2, 2, 1, 1, 4, 1, 82) ]
sqrt(1750) = [ 41; (1, 4, 1, 82) ]
sqrt(1751) = [ 41; (1, 5, 2, 4, 2, 5, 1, 82) ]
sqrt(1752) = [ 41; (1, 5, 1, 82) ]
sqrt(1753) = [ 41; (1, 6, 1, 1, 1, 1, 1, 27, 3, 2, 4, 1, 4, 9, 10, 2, 1, 3, 1, 2, 1, 2, 2, 1, 2, 1, 3, 1, 2, 10, 9, 4, 1, 4, 2, 3, 27, 1, 1, 1, 1, 1, 6, 1, 82) ]
sqrt(1754) = [ 41; (1, 7, 2, 1, 1, 2, 1, 3, 11, 1, 2, 3, 3, 2, 1, 11, 3, 1, 2, 1, 1, 2, 7, 1, 82) ]
sqrt(1755) = [ 41; (1, 8, 3, 8, 1, 82) ]
sqrt(1756) = [ 41; (1, 9, 2, 20, 2, 9, 1, 82) ]
sqrt(1757) = [ 41; (1, 10, 1, 82) ]
sqrt(1758) = [ 41; (1, 12, 1, 82) ]
sqrt(1759) = [ 41; (1, 15, 1, 3, 1, 2, 1, 1, 3, 1, 5, 4, 1, 3, 5, 3, 27, 1, 1, 1, 4, 1, 13, 6, 2, 1, 1, 1, 2, 2, 11, 1, 1, 3, 2, 8, 1, 7, 2, 41, 2, 7, 1, 8, 2, 3, 1, 1, 11, 2, 2, 1, 1, 1, 2, 6, 13, 1, 4, 1, 1, 1, 27, 3, 5, 3, 1, 4, 5, 1, 3, 1, 1, 2, 1, 3, 1, 15, 1, 82) ]
sqrt(1760) = [ 41; (1, 19, 1, 82) ]
sqrt(1761) = [ 41; (1, 26, 1, 82) ]
sqrt(1762) = [ 41; (1, 40, 1, 82) ]
sqrt(1763) = [ 41; (1, 82) ]
sqrt(1765) = [ 42; (84) ]
sqrt(1766) = [ 42; (42, 84) ]
sqrt(1767) = [ 42; (28, 84) ]
sqrt(1768) = [ 42; (21, 84) ]
sqrt(1769) = [ 42; (16, 1, 4, 3, 6, 6, 3, 4, 1, 16, 84) ]
sqrt(1770) = [ 42; (14, 84) ]
sqrt(1771) = [ 42; (12, 84) ]
sqrt(1772) = [ 42; (10, 1, 1, 20, 1, 1, 10, 84) ]
sqrt(1773) = [ 42; (9, 2, 1, 8, 1, 2, 9, 84) ]
sqrt(1774) = [ 42; (8, 2, 2, 2, 1, 27, 2, 1, 2, 7, 3, 1, 1, 8, 1, 3, 1, 3, 1, 1, 1, 3, 5, 2, 1, 13, 2, 1, 4, 1, 16, 42, 16, 1, 4, 1, 2, 13, 1, 2, 5, 3, 1, 1, 1, 3, 1, 3, 1, 8, 1, 1, 3, 7, 2, 1, 2, 27, 1, 2, 2, 2, 8, 84) ]
sqrt(1775) = [ 42; (7, 1, 1, 1, 5, 2, 1, 2, 1, 2, 5, 1, 1, 1, 7, 84) ]
sqrt(1776) = [ 42; (7, 84) ]
sqrt(1777) = [ 42; (6, 2, 8, 1, 9, 1, 1, 1, 4, 3, 3, 2, 1, 4, 1, 1, 2, 1, 27, 2, 1, 1, 2, 27, 1, 2, 1, 1, 4, 1, 2, 3, 3, 4, 1, 1, 1, 9, 1, 8, 2, 6, 84) ]
sqrt(1778) = [ 42; (6, 84) ]
sqrt(1779) = [ 42; (5, 1, 1, 1, 1, 2, 1, 3, 3, 2, 1, 1, 41, 1, 1, 2, 3, 3, 1, 2, 1, 1, 1, 1, 5, 84) ]
sqrt(1780) = [ 42; (5, 3, 1, 4, 1, 1, 20, 1, 1, 4, 1, 3, 5, 84) ]
sqrt(1781) = [ 42; (4, 1, 20, 3, 3, 20, 1, 4, 84) ]
sqrt(1782) = [ 42; (4, 1, 2, 9, 42, 9, 2, 1, 4, 84) ]
sqrt(1783) = [ 42; (4, 2, 3, 4, 2, 2, 27, 1, 2, 1, 6, 1, 13, 4, 1, 8, 1, 1, 2, 1, 1, 1, 1, 41, 1, 1, 1, 1, 2, 1, 1, 8, 1, 4, 13, 1, 6, 1, 2, 1, 27, 2, 2, 4, 3, 2, 4, 84) ]
sqrt(1784) = [ 42; (4, 4, 1, 2, 1, 1, 3, 10, 3, 1, 1, 2, 1, 4, 4, 84) ]
sqrt(1785) = [ 42; (4, 84) ]
sqrt(1786) = [ 42; (3, 1, 4, 1, 7, 1, 1, 1, 2, 13, 1, 2, 2, 4, 1, 1, 5, 11, 1, 8, 2, 8, 1, 11, 5, 1, 1, 4, 2, 2, 1, 13, 2, 1, 1, 1, 7, 1, 4, 1, 3, 84) ]
sqrt(1787) = [ 42; (3, 1, 1, 1, 41, 1, 1, 1, 3, 84) ]
sqrt(1788) = [ 42; (3, 1, 1, 20, 1, 1, 3, 84) ]
sqrt(1789) = [ 42; (3, 2, 1, 2, 4, 1, 1, 1, 1, 6, 2, 3, 1, 3, 3, 1, 27, 2, 3, 5, 2, 1, 4, 1, 20, 3, 11, 1, 3, 9, 6, 1, 16, 16, 1, 6, 9, 3, 1, 11, 3, 20, 1, 4, 1, 2, 5, 3, 2, 27, 1, 3, 3, 1, 3, 2, 6, 1, 1, 1, 1, 4, 2, 1, 2, 3, 84) ]
sqrt(1790) = [ 42; (3, 4, 8, 4, 3, 84) ]
sqrt(1791) = [ 42; (3, 8, 7, 1, 1, 2, 1, 5, 1, 3, 1, 5, 1, 2, 1, 1, 7, 8, 3, 84) ]
sqrt(1792) = [ 42; (3, 84) ]
sqrt(1793) = [ 42; (2, 1, 9, 1, 11, 5, 4, 1, 3, 1, 1, 1, 5, 1, 6, 1, 5, 1, 1, 1, 3, 1, 4, 5, 11, 1, 9, 1, 2, 84) ]
sqrt(1794) = [ 42; (2, 1, 4, 3, 5, 1, 2, 1, 5, 3, 4, 1, 2, 84) ]
sqrt(1795) = [ 42; (2, 1, 2, 1, 1, 2, 4, 13, 1, 8, 2, 16, 2, 8, 1, 13, 4, 2, 1, 1, 2, 1, 2, 84) ]
sqrt(1796) = [ 42; (2, 1, 1, 1, 3, 16, 1, 2, 11, 1, 3, 3, 7, 2, 1, 1, 20, 1, 1, 2, 7, 3, 3, 1, 11, 2, 1, 16, 3, 1, 1, 1, 2, 84) ]
sqrt(1797) = [ 42; (2, 1, 1, 3, 1, 6, 3, 1, 1, 5, 1, 20, 2, 1, 7, 28, 7, 1, 2, 20, 1, 5, 1, 1, 3, 6, 1, 3, 1, 1, 2, 84) ]
sqrt(1798) = [ 42; (2, 2, 13, 1, 2, 1, 3, 9, 6, 2, 2, 2, 6, 9, 3, 1, 2, 1, 13, 2, 2, 84) ]
sqrt(1799) = [ 42; (2, 2, 2, 2, 1, 41, 1, 2, 2, 2, 2, 84) ]
sqrt(1800) = [ 42; (2, 2, 1, 8, 1, 2, 2, 84) ]
sqrt(1801) = [ 42; (2, 3, 1, 1, 5, 10, 2, 3, 16, 1, 2, 4, 1, 27, 2, 11, 1, 1, 1, 2, 1, 2, 1, 4, 3, 1, 4, 1, 8, 1, 1, 1, 1, 8, 1, 4, 1, 3, 4, 1, 2, 1, 2, 1, 1, 1, 11, 2, 27, 1, 4, 2, 1, 16, 3, 2, 10, 5, 1, 1, 3, 2, 84) ]
sqrt(1802) = [ 42; (2, 4, 2, 84) ]
sqrt(1803) = [ 42; (2, 6, 28, 6, 2, 84) ]
sqrt(1804) = [ 42; (2, 8, 1, 16, 10, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 20, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 10, 16, 1, 8, 2, 84) ]
sqrt(1805) = [ 42; (2, 16, 2, 84) ]
sqrt(1806) = [ 42; (2, 84) ]
sqrt(1807) = [ 42; (1, 1, 27, 1, 5, 9, 3, 1, 1, 2, 2, 1, 3, 6, 3, 1, 2, 2, 1, 1, 3, 9, 5, 1, 27, 1, 1, 84) ]
sqrt(1808) = [ 42; (1, 1, 11, 1, 1, 1, 4, 1, 1, 1, 11, 1, 1, 84) ]
sqrt(1809) = [ 42; (1, 1, 7, 4, 2, 1, 9, 1, 16, 9, 2, 1, 1, 4, 1, 2, 1, 1, 2, 1, 1, 2, 1, 4, 1, 1, 2, 9, 16, 1, 9, 1, 2, 4, 7, 1, 1, 84) ]
sqrt(1810) = [ 42; (1, 1, 5, 5, 1, 8, 1, 1, 1, 1, 1, 1, 8, 1, 5, 5, 1, 1, 84) ]
sqrt(1811) = [ 42; (1, 1, 3, 1, 41, 1, 3, 1, 1, 84) ]
sqrt(1812) = [ 42; (1, 1, 3, 5, 28, 5, 3, 1, 1, 84) ]
sqrt(1813) = [ 42; (1, 1, 2, 1, 1, 1, 6, 2, 6, 1, 1, 1, 2, 1, 1, 84) ]
sqrt(1814) = [ 42; (1, 1, 2, 4, 11, 1, 16, 8, 2, 5, 1, 1, 1, 1, 2, 3, 42, 3, 2, 1, 1, 1, 1, 5, 2, 8, 16, 1, 11, 4, 2, 1, 1, 84) ]
sqrt(1815) = [ 42; (1, 1, 1, 1, 13, 1, 1, 1, 1, 84) ]
sqrt(1816) = [ 42; (1, 1, 1, 1, 2, 6, 1, 2, 1, 1, 5, 9, 3, 2, 3, 1, 4, 1, 9, 1, 4, 1, 3, 2, 3, 9, 5, 1, 1, 2, 1, 6, 2, 1, 1, 1, 1, 84) ]
sqrt(1817) = [ 42; (1, 1, 1, 2, 11, 1, 4, 10, 2, 4, 1, 5, 1, 2, 1, 5, 1, 4, 2, 10, 4, 1, 11, 2, 1, 1, 1, 84) ]
sqrt(1818) = [ 42; (1, 1, 1, 3, 4, 1, 2, 1, 8, 1, 2, 1, 4, 3, 1, 1, 1, 84) ]
sqrt(1819) = [ 42; (1, 1, 1, 5, 1, 8, 1, 1, 1, 2, 5, 3, 4, 2, 2, 1, 4, 1, 41, 1, 4, 1, 2, 2, 4, 3, 5, 2, 1, 1, 1, 8, 1, 5, 1, 1, 1, 84) ]
sqrt(1820) = [ 42; (1, 1, 1, 20, 1, 1, 1, 84) ]
sqrt(1821) = [ 42; (1, 2, 16, 1, 2, 1, 3, 3, 6, 1, 4, 6, 2, 1, 3, 1, 1, 2, 2, 20, 1, 11, 4, 5, 2, 4, 28, 4, 2, 5, 4, 11, 1, 20, 2, 2, 1, 1, 3, 1, 2, 6, 4, 1, 6, 3, 3, 1, 2, 1, 16, 2, 1, 84) ]
sqrt(1822) = [ 42; (1, 2, 5, 1, 3, 4, 2, 13, 1, 3, 1, 1, 3, 1, 1, 27, 1, 8, 1, 1, 11, 1, 2, 42, 2, 1, 11, 1, 1, 8, 1, 27, 1, 1, 3, 1, 1, 3, 1, 13, 2, 4, 3, 1, 5, 2, 1, 84) ]
sqrt(1823) = [ 42; (1, 2, 3, 2, 1, 1, 1, 4, 2, 1, 1, 5, 1, 41, 1, 5, 1, 1, 2, 4, 1, 1, 1, 2, 3, 2, 1, 84) ]
sqrt(1824) = [ 42; (1, 2, 2, 2, 1, 84) ]
sqrt(1825) = [ 42; (1, 2, 1, 1, 2, 1, 84) ]
sqrt(1826) = [ 42; (1, 2, 1, 2, 1, 2, 42, 2, 1, 2, 1, 2, 1, 84) ]
sqrt(1827) = [ 42; (1, 2, 1, 8, 1, 2, 1, 84) ]
sqrt(1828) = [ 42; (1, 3, 11, 1, 27, 1, 1, 2, 2, 3, 1, 1, 1, 8, 1, 6, 4, 2, 1, 4, 2, 1, 20, 1, 2, 4, 1, 2, 4, 6, 1, 8, 1, 1, 1, 3, 2, 2, 1, 1, 27, 1, 11, 3, 1, 84) ]
sqrt(1829) = [ 42; (1, 3, 3, 2, 7, 2, 1, 11, 1, 1, 6, 16, 1, 20, 2, 3, 1, 3, 1, 2, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 3, 1, 3, 2, 20, 1, 16, 6, 1, 1, 11, 1, 2, 7, 2, 3, 3, 1, 84) ]
sqrt(1830) = [ 42; (1, 3, 1, 1, 16, 1, 1, 3, 1, 84) ]
